Código	Estado	Região	2016	2017	2018	2019	2020	2021	2022
2106359	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1721257	TO	NO	28.83252144	28.90787888	28.97444153	28.93648148	28.95431137	28.96951103	30.70641327
2503753	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28832626
2403905	RN	NE	28.83252144	28.92882156	33.87082291	28.94393921	28.95581627	33.86726379	44.02534103
2208601	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1101476	RO	NO	28.83252144	38.72037888	38.81409454	38.77511597	38.79358292	38.86016083	39.58757019
2919009	BA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1101450	RO	NO	28.83252144	33.77381897	33.82933044	38.71781158	33.88104248	33.84739685	30.71476746
2200277	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2511004	PB	NE	28.83252144	28.90787888	28.96224403	28.961092	28.96284866	28.99793816	35.11912537
1505809	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2505303	PB	NE	28.83252144	28.90787888	28.94265175	28.92754936	28.94760513	28.97969437	26.29947853
2101939	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2504108	PB	NE	28.83252144	28.91180611	28.94265175	28.92504501	28.94090652	28.96866798	30.69778442
1301803	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205532	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2504850	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2201988	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2512077	PB	NE	28.83252144	28.94021225	28.97684669	33.79111481	28.96977043	33.8547287	44.01754379
2401909	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28771019
2104081	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3136959	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1720150	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2210375	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2203271	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2203859	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.96982384	28.96866798	26.28367996
2202737	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.69556427
2209559	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2877636
3144672	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28630066
5207105	GO	CO	28.83252144	28.90977097	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2206308	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1506195	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94377327	28.97579384	26.29143333
2209153	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1718501	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2513000	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.98925018	35.12165833
2204105	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28581429
2206050	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2852993
2414753	RN	NE	28.83252144	28.90787888	28.94265175	28.9308567	33.82868576	33.86347961	39.57825851
2404002	RN	NE	28.83252144	28.90787888	28.94265175	28.94307899	28.94090652	33.8588829	35.11283112
1719004	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28130341
2413557	RN	NE	28.83252144	28.90787888	28.94265175	33.81173706	28.94090652	33.89811325	35.14705658
4110052	PR	SL	28.83252144	38.73430634	38.78175735	38.75526428	38.80397797	43.7819519	39.5674057
1505700	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3127354	MG	SD	28.83252144	38.78155136	38.8266716	38.79980469	38.81684113	38.85186005	30.72297478
3126950	MG	SD	28.83252144	28.91737747	28.97841454	28.95491219	28.97012711	33.84382248	30.68444824
2500536	PB	NE	28.83252144	28.90787888	28.94265175	28.94267082	28.96859169	28.9975605	35.12417984
